Pattern(match=(2, 10, 8), count=6, length=3)
Pattern(match=(8, 10, 6), count=2, length=3)
Pattern(match=(2, 6, 12), count=3, length=3)
Pattern(match=(6, 12, 10), count=2, length=3)
Pattern(match=(4, 12, 2), count=3, length=3)
Pattern(match=(12, 2, 6), count=3, length=3)
Pattern(match=(6, 12, 12), count=3, length=3)
Pattern(match=(8, 12, 6), count=3, length=3)
Pattern(match=(12, 6, 4), count=2, length=3)
Pattern(match=(6, 2, 4), count=2, length=3)
Pattern(match=(24, 4, 2), count=2, length=3)
Pattern(match=(2, 10, 12), count=3, length=3)
Pattern(match=(6, 6, 18), count=4, length=3)
Pattern(match=(18, 6, 4), count=2, length=3)
Pattern(match=(14, 6, 4), count=5, length=3)
Pattern(match=(12, 6, 6), count=2, length=3)
Pattern(match=(6, 18, 2), count=3, length=3)
Pattern(match=(2, 16, 2), count=3, length=3)
Pattern(match=(2, 22, 6), count=2, length=3)
Pattern(match=(2, 4, 8), count=4, length=3)
Pattern(match=(8, 6, 10), count=3, length=3)
Pattern(match=(10, 6, 12), count=3, length=3)
Pattern(match=(12, 2, 4), count=4, length=3)
Pattern(match=(12, 2, 16), count=2, length=3)
Pattern(match=(8, 16, 2), count=2, length=3)
Pattern(match=(16, 2, 4), count=4, length=3)
Pattern(match=(6, 4, 12), count=2, length=3)
Pattern(match=(22, 6, 2), count=2, length=3)
Pattern(match=(4, 6, 14), count=2, length=3)
Pattern(match=(2, 6, 22), count=2, length=3)
Pattern(match=(22, 12, 2), count=2, length=3)
Pattern(match=(16, 8, 4), count=2, length=3)
Pattern(match=(6, 4, 18), count=2, length=3)
Pattern(match=(4, 18, 8), count=2, length=3)
Pattern(match=(14, 4, 8), count=2, length=3)
Pattern(match=(10, 2, 16), count=2, length=3)
Pattern(match=(2, 12, 6), count=2, length=3)
Pattern(match=(10, 14, 6), count=2, length=3)
Pattern(match=(18, 2, 10), count=2, length=3)
Pattern(match=(10, 6, 2), count=2, length=3)
Pattern(match=(2, 4, 2, 4), count=4, length=4)
Pattern(match=(4, 2, 4, 2), count=4, length=4)
Pattern(match=(4, 2, 4, 6), count=8, length=4)
Pattern(match=(2, 4, 6, 2), count=8, length=4)
Pattern(match=(4, 6, 2, 6), count=6, length=4)
Pattern(match=(6, 2, 6, 4), count=5, length=4)
Pattern(match=(2, 6, 4, 2), count=6, length=4)
Pattern(match=(6, 4, 2, 4), count=6, length=4)
Pattern(match=(2, 4, 6, 6), count=4, length=4)
Pattern(match=(4, 6, 6, 2), count=6, length=4)
Pattern(match=(6, 6, 2, 6), count=6, length=4)
Pattern(match=(6, 4, 2, 6), count=2, length=4)
Pattern(match=(4, 2, 6, 4), count=2, length=4)
Pattern(match=(2, 6, 4, 6), count=4, length=4)
Pattern(match=(6, 4, 6, 8), count=5, length=4)
Pattern(match=(4, 6, 8, 4), count=6, length=4)
Pattern(match=(6, 8, 4, 2), count=4, length=4)
Pattern(match=(8, 4, 2, 4), count=3, length=4)
Pattern(match=(4, 2, 4, 14), count=3, length=4)
Pattern(match=(2, 4, 14, 4), count=2, length=4)
Pattern(match=(4, 14, 4, 6), count=2, length=4)
Pattern(match=(14, 4, 6, 2), count=2, length=4)
Pattern(match=(4, 6, 2, 10), count=3, length=4)
Pattern(match=(6, 2, 10, 2), count=5, length=4)
Pattern(match=(2, 10, 2, 6), count=4, length=4)
Pattern(match=(2, 6, 6, 4), count=2, length=4)
Pattern(match=(6, 6, 4, 6), count=3, length=4)
Pattern(match=(6, 4, 6, 6), count=2, length=4)
Pattern(match=(2, 10, 2, 4), count=2, length=4)
Pattern(match=(10, 2, 4, 2), count=3, length=4)
Pattern(match=(2, 4, 2, 12), count=2, length=4)
Pattern(match=(6, 4, 2, 10), count=2, length=4)
Pattern(match=(4, 2, 10, 14), count=3, length=4)
Pattern(match=(2, 10, 14, 4), count=5, length=4)
Pattern(match=(10, 14, 4, 2), count=4, length=4)
Pattern(match=(14, 4, 2, 4), count=4, length=4)
Pattern(match=(2, 4, 14, 6), count=3, length=4)
Pattern(match=(6, 10, 2, 4), count=3, length=4)
Pattern(match=(10, 2, 4, 6), count=3, length=4)
Pattern(match=(2, 4, 6, 8), count=4, length=4)
Pattern(match=(4, 6, 8, 6), count=4, length=4)
Pattern(match=(6, 8, 6, 6), count=3, length=4)
Pattern(match=(8, 6, 6, 4), count=4, length=4)
Pattern(match=(6, 8, 4, 8), count=3, length=4)
Pattern(match=(10, 2, 10, 2), count=3, length=4)
Pattern(match=(4, 2, 4, 12), count=2, length=4)
Pattern(match=(8, 4, 8, 4), count=2, length=4)
Pattern(match=(12, 2, 18, 6), count=2, length=4)
Pattern(match=(6, 10, 6, 6), count=2, length=4)
Pattern(match=(10, 6, 6, 2), count=2, length=4)
Pattern(match=(6, 2, 6, 10), count=3, length=4)
Pattern(match=(6, 2, 6, 6), count=2, length=4)
Pattern(match=(6, 6, 4, 2), count=2, length=4)
Pattern(match=(6, 4, 2, 12), count=2, length=4)
Pattern(match=(4, 2, 12, 10), count=2, length=4)
Pattern(match=(2, 12, 10, 2), count=2, length=4)
Pattern(match=(12, 10, 2, 4), count=2, length=4)
Pattern(match=(6, 2, 12, 4), count=4, length=4)
Pattern(match=(8, 10, 8, 6), count=2, length=4)
Pattern(match=(10, 8, 6, 6), count=3, length=4)
Pattern(match=(4, 8, 4, 14), count=2, length=4)
Pattern(match=(8, 4, 14, 10), count=2, length=4)
Pattern(match=(4, 14, 10, 12), count=2, length=4)
Pattern(match=(14, 10, 12, 2), count=2, length=4)
Pattern(match=(10, 12, 2, 10), count=2, length=4)
Pattern(match=(12, 2, 10, 2), count=2, length=4)
Pattern(match=(2, 4, 2, 10), count=3, length=4)
Pattern(match=(4, 8, 10, 8), count=2, length=4)
Pattern(match=(10, 8, 4, 6), count=2, length=4)
Pattern(match=(6, 6, 14, 4), count=2, length=4)
Pattern(match=(6, 14, 4, 6), count=2, length=4)
Pattern(match=(14, 4, 6, 6), count=2, length=4)
Pattern(match=(4, 6, 6, 8), count=2, length=4)
Pattern(match=(6, 6, 8, 6), count=2, length=4)
Pattern(match=(6, 12, 4, 6), count=2, length=4)
Pattern(match=(2, 6, 10, 2), count=3, length=4)
Pattern(match=(6, 10, 2, 10), count=3, length=4)
Pattern(match=(8, 6, 6, 22), count=2, length=4)
Pattern(match=(8, 10, 6, 6), count=2, length=4)
Pattern(match=(10, 6, 6, 8), count=2, length=4)
Pattern(match=(2, 6, 12, 10), count=2, length=4)
Pattern(match=(8, 4, 2, 6), count=2, length=4)
Pattern(match=(8, 4, 14, 4), count=2, length=4)
Pattern(match=(4, 6, 2, 4), count=2, length=4)
Pattern(match=(6, 2, 4, 6), count=2, length=4)
Pattern(match=(4, 2, 10, 12), count=3, length=4)
Pattern(match=(2, 10, 12, 2), count=2, length=4)
Pattern(match=(2, 10, 8, 6), count=2, length=4)
Pattern(match=(14, 6, 4, 2), count=3, length=4)
Pattern(match=(6, 6, 18, 2), count=2, length=4)
Pattern(match=(6, 8, 6, 4), count=2, length=4)
Pattern(match=(2, 4, 8, 6), count=3, length=4)
Pattern(match=(8, 6, 10, 2), count=2, length=4)
Pattern(match=(10, 2, 10, 14), count=2, length=4)
Pattern(match=(8, 16, 2, 4), count=2, length=4)
Pattern(match=(16, 2, 4, 8), count=2, length=4)
Pattern(match=(4, 8, 6, 6), count=2, length=4)
Pattern(match=(6, 2, 6, 22), count=2, length=4)
Pattern(match=(10, 2, 10, 8), count=2, length=4)
Pattern(match=(2, 10, 8, 4), count=2, length=4)
Pattern(match=(10, 8, 4, 14), count=2, length=4)
Pattern(match=(6, 4, 18, 8), count=2, length=4)
Pattern(match=(4, 6, 2, 12), count=3, length=4)
Pattern(match=(2, 10, 14, 6), count=2, length=4)
Pattern(match=(10, 14, 6, 4), count=2, length=4)
Pattern(match=(6, 18, 2, 10), count=2, length=4)
Pattern(match=(18, 2, 10, 14), count=2, length=4)
Pattern(match=(12, 2, 4, 6), count=2, length=4)
Pattern(match=(16, 2, 4, 6), count=2, length=4)
Pattern(match=(10, 6, 2, 10), count=2, length=4)
Pattern(match=(2, 10, 2, 10), count=3, length=4)
Pattern(match=(10, 2, 10, 6), count=2, length=4)
Pattern(match=(4, 2, 4, 2, 4), count=2, length=5)
Pattern(match=(2, 4, 2, 4, 6), count=2, length=5)
Pattern(match=(4, 2, 4, 6, 2), count=3, length=5)
Pattern(match=(2, 4, 6, 2, 6), count=5, length=5)
Pattern(match=(4, 6, 2, 6, 4), count=2, length=5)
Pattern(match=(6, 2, 6, 4, 2), count=4, length=5)
Pattern(match=(2, 6, 4, 2, 4), count=2, length=5)
Pattern(match=(6, 4, 2, 4, 6), count=2, length=5)
Pattern(match=(4, 2, 4, 6, 6), count=2, length=5)
Pattern(match=(2, 4, 6, 6, 2), count=3, length=5)
Pattern(match=(4, 6, 6, 2, 6), count=3, length=5)
Pattern(match=(6, 6, 2, 6, 4), count=2, length=5)
Pattern(match=(6, 4, 2, 6, 4), count=2, length=5)
Pattern(match=(4, 2, 6, 4, 6), count=2, length=5)
Pattern(match=(2, 6, 4, 6, 8), count=2, length=5)
Pattern(match=(6, 4, 6, 8, 4), count=4, length=5)
Pattern(match=(4, 6, 8, 4, 2), count=4, length=5)
Pattern(match=(6, 8, 4, 2, 4), count=2, length=5)
Pattern(match=(8, 4, 2, 4, 2), count=2, length=5)
Pattern(match=(4, 2, 4, 14, 4), count=2, length=5)
Pattern(match=(4, 14, 4, 6, 2), count=2, length=5)
Pattern(match=(4, 6, 2, 10, 2), count=2, length=5)
Pattern(match=(6, 2, 10, 2, 6), count=2, length=5)
Pattern(match=(2, 10, 2, 4, 2), count=2, length=5)
Pattern(match=(2, 6, 4, 2, 10), count=2, length=5)
Pattern(match=(4, 2, 10, 14, 4), count=3, length=5)
Pattern(match=(2, 10, 14, 4, 2), count=3, length=5)
Pattern(match=(10, 14, 4, 2, 4), count=3, length=5)
Pattern(match=(14, 4, 2, 4, 14), count=2, length=5)
Pattern(match=(6, 10, 2, 4, 6), count=2, length=5)
Pattern(match=(2, 4, 6, 8, 6), count=2, length=5)
Pattern(match=(4, 6, 8, 6, 6), count=2, length=5)
Pattern(match=(4, 6, 8, 4, 8), count=2, length=5)
Pattern(match=(10, 2, 10, 2, 6), count=2, length=5)
Pattern(match=(6, 10, 6, 6, 2), count=2, length=5)
