Pattern(match=(24, 16), count=2, length=2)
Pattern(match=(18, 34), count=2, length=2)
Pattern(match=(20, 12), count=6, length=2)
Pattern(match=(20, 24), count=4, length=2)
Pattern(match=(28, 12), count=4, length=2)
Pattern(match=(40, 6), count=3, length=2)
Pattern(match=(6, 52), count=2, length=2)
Pattern(match=(18, 18), count=6, length=2)
Pattern(match=(10, 26), count=4, length=2)
Pattern(match=(2, 40), count=3, length=2)
Pattern(match=(40, 8), count=2, length=2)
Pattern(match=(14, 34), count=2, length=2)
Pattern(match=(24, 8), count=3, length=2)
Pattern(match=(14, 24), count=4, length=2)
Pattern(match=(30, 22), count=3, length=2)
Pattern(match=(36, 12), count=2, length=2)
Pattern(match=(40, 2), count=2, length=2)
Pattern(match=(2, 52), count=2, length=2)
Pattern(match=(52, 14), count=2, length=2)
Pattern(match=(18, 22), count=2, length=2)
Pattern(match=(12, 26), count=4, length=2)
Pattern(match=(4, 32), count=5, length=2)
Pattern(match=(32, 4), count=3, length=2)
Pattern(match=(32, 10), count=3, length=2)
Pattern(match=(2, 36), count=3, length=2)
Pattern(match=(18, 30), count=3, length=2)
Pattern(match=(18, 26), count=2, length=2)
Pattern(match=(16, 38), count=2, length=2)
Pattern(match=(38, 6), count=2, length=2)
Pattern(match=(18, 20), count=2, length=2)
Pattern(match=(50, 6), count=2, length=2)
Pattern(match=(36, 2), count=3, length=2)
Pattern(match=(6, 32), count=2, length=2)
Pattern(match=(52, 2), count=2, length=2)
Pattern(match=(10, 38), count=2, length=2)
Pattern(match=(38, 4), count=2, length=2)
Pattern(match=(20, 18), count=3, length=2)
Pattern(match=(22, 20), count=2, length=2)
Pattern(match=(2, 4, 2), count=25, length=3)
Pattern(match=(4, 2, 4), count=58, length=3)
Pattern(match=(2, 4, 6), count=51, length=3)
Pattern(match=(4, 6, 2), count=47, length=3)
Pattern(match=(6, 2, 6), count=34, length=3)
Pattern(match=(2, 6, 4), count=43, length=3)
Pattern(match=(6, 4, 2), count=40, length=3)
Pattern(match=(4, 6, 6), count=44, length=3)
Pattern(match=(6, 6, 2), count=26, length=3)
Pattern(match=(4, 2, 6), count=23, length=3)
Pattern(match=(6, 4, 6), count=54, length=3)
Pattern(match=(4, 6, 8), count=40, length=3)
Pattern(match=(6, 8, 4), count=31, length=3)
Pattern(match=(8, 4, 2), count=24, length=3)
Pattern(match=(2, 4, 14), count=21, length=3)
Pattern(match=(4, 14, 4), count=14, length=3)
Pattern(match=(14, 4, 6), count=19, length=3)
Pattern(match=(6, 2, 10), count=33, length=3)
Pattern(match=(2, 10, 2), count=41, length=3)
Pattern(match=(10, 2, 6), count=22, length=3)
Pattern(match=(2, 6, 6), count=15, length=3)
Pattern(match=(6, 6, 4), count=30, length=3)
Pattern(match=(10, 2, 4), count=31, length=3)
Pattern(match=(4, 2, 12), count=20, length=3)
Pattern(match=(2, 12, 12), count=15, length=3)
Pattern(match=(12, 12, 4), count=8, length=3)
Pattern(match=(12, 4, 2), count=10, length=3)
Pattern(match=(2, 10, 6), count=20, length=3)
Pattern(match=(10, 6, 6), count=24, length=3)
Pattern(match=(6, 6, 6), count=19, length=3)
Pattern(match=(4, 2, 10), count=23, length=3)
Pattern(match=(2, 10, 14), count=15, length=3)
Pattern(match=(10, 14, 4), count=16, length=3)
Pattern(match=(14, 4, 2), count=23, length=3)
Pattern(match=(4, 14, 6), count=18, length=3)
Pattern(match=(14, 6, 10), count=7, length=3)
Pattern(match=(6, 10, 2), count=30, length=3)
Pattern(match=(6, 8, 6), count=44, length=3)
Pattern(match=(8, 6, 6), count=26, length=3)
Pattern(match=(8, 4, 8), count=17, length=3)
Pattern(match=(4, 8, 10), count=18, length=3)
Pattern(match=(8, 10, 2), count=17, length=3)
Pattern(match=(10, 2, 10), count=38, length=3)
Pattern(match=(2, 4, 12), count=9, length=3)
Pattern(match=(4, 12, 8), count=11, length=3)
Pattern(match=(12, 8, 4), count=4, length=3)
Pattern(match=(4, 8, 4), count=9, length=3)
Pattern(match=(8, 4, 6), count=24, length=3)
Pattern(match=(4, 6, 12), count=26, length=3)
Pattern(match=(6, 12, 2), count=21, length=3)
Pattern(match=(12, 2, 18), count=8, length=3)
Pattern(match=(2, 18, 6), count=6, length=3)
Pattern(match=(18, 6, 10), count=3, length=3)
Pattern(match=(6, 10, 6), count=15, length=3)
Pattern(match=(2, 6, 10), count=24, length=3)
